,PostalCode,Borough,Neighbourhood,Latitude,Longitude,Cluster Labels,1st Most Common Venue,2nd Most Common Venue,3rd Most Common Venue,4th Most Common Venue,5th Most Common Venue,6th Most Common Venue,7th Most Common Venue,8th Most Common Venue,9th Most Common Venue,10th Most Common Venue
0,M1B,Scarborough,"Rouge, Malvern",43.806686299999996,-79.19435340000001,1,Fast Food Restaurant,Dumpling Restaurant,Diner,Discount Store,Dog Run,Doner Restaurant,Donut Shop,Drugstore,Eastern European Restaurant,Women's Store
1,M1C,Scarborough,"Highland Creek, Rouge Hill, Port Union",43.7845351,-79.16049709999999,0,Bar,Yoga Studio,Dumpling Restaurant,Discount Store,Dog Run,Doner Restaurant,Donut Shop,Drugstore,Eastern European Restaurant,Festival
2,M1E,Scarborough,"Guildwood, Morningside, West Hill",43.7635726,-79.1887115,0,Pizza Place,Intersection,Electronics Store,Breakfast Spot,Medical Center,Rental Car Location,Mexican Restaurant,Yoga Studio,Doner Restaurant,Discount Store
3,M1G,Scarborough,Woburn,43.7709921,-79.21691740000001,0,Coffee Shop,Korean Restaurant,Eastern European Restaurant,Discount Store,Dog Run,Doner Restaurant,Donut Shop,Drugstore,Dumpling Restaurant,Yoga Studio
4,M1H,Scarborough,Cedarbrae,43.773136,-79.23947609999999,0,Bakery,Bank,Hakka Restaurant,Fried Chicken Joint,Thai Restaurant,Athletics & Sports,Caribbean Restaurant,Donut Shop,Discount Store,Dog Run
5,M1J,Scarborough,Scarborough Village,43.7447342,-79.23947609999999,0,Business Service,Playground,Drugstore,Dim Sum Restaurant,Diner,Discount Store,Dog Run,Doner Restaurant,Donut Shop,Yoga Studio
6,M1K,Scarborough,"East Birchmount Park, Ionview, Kennedy Park",43.7279292,-79.26202940000002,0,Department Store,Discount Store,Coffee Shop,Hobby Shop,Dumpling Restaurant,Diner,Dog Run,Doner Restaurant,Donut Shop,Drugstore
7,M1L,Scarborough,"Clairlea, Golden Mile, Oakridge",43.711111700000004,-79.2845772,0,Bus Line,Bakery,Fast Food Restaurant,Intersection,Bus Station,Soccer Field,Park,Convenience Store,Cosmetics Shop,Falafel Restaurant
8,M1M,Scarborough,"Cliffcrest, Cliffside, Scarborough Village West",43.716316,-79.23947609999999,0,Motel,American Restaurant,Diner,Discount Store,Dog Run,Doner Restaurant,Donut Shop,Drugstore,Yoga Studio,Dim Sum Restaurant
9,M1N,Scarborough,"Birch Cliff, Cliffside West",43.692657000000004,-79.2648481,0,College Stadium,General Entertainment,Skating Rink,Café,Comic Shop,Dim Sum Restaurant,Event Space,Ethiopian Restaurant,Empanada Restaurant,Electronics Store
10,M1P,Scarborough,"Dorset Park, Scarborough Town Centre, Wexford Heights",43.7574096,-79.27330400000001,0,Indian Restaurant,Latin American Restaurant,Furniture / Home Store,Chinese Restaurant,Vietnamese Restaurant,Pet Store,Empanada Restaurant,Electronics Store,Eastern European Restaurant,Dumpling Restaurant
11,M1R,Scarborough,"Maryvale, Wexford",43.750071500000004,-79.2958491,0,Middle Eastern Restaurant,Auto Garage,Breakfast Spot,Vietnamese Restaurant,Shopping Mall,Sandwich Place,Yoga Studio,Donut Shop,Discount Store,Dog Run
12,M1S,Scarborough,Agincourt,43.7942003,-79.26202940000002,0,Lounge,Breakfast Spot,Skating Rink,Clothing Store,Dumpling Restaurant,Discount Store,Dog Run,Doner Restaurant,Donut Shop,Drugstore
13,M1T,Scarborough,"Clarks Corners, Sullivan, Tam O'Shanter",43.7816375,-79.3043021,0,Pizza Place,Fried Chicken Joint,Chinese Restaurant,Italian Restaurant,Thai Restaurant,Noodle House,Fast Food Restaurant,Breakfast Spot,Pharmacy,Bank
14,M1V,Scarborough,"Agincourt North, L'Amoreaux East, Milliken, Steeles East",43.8152522,-79.2845772,4,Playground,Park,Yoga Studio,Drugstore,Dim Sum Restaurant,Diner,Discount Store,Dog Run,Doner Restaurant,Donut Shop
15,M1W,Scarborough,L'Amoreaux West,43.799525200000005,-79.3183887,0,Fast Food Restaurant,Chinese Restaurant,Pharmacy,Coffee Shop,Breakfast Spot,Sandwich Place,Noodle House,Indian Restaurant,Grocery Store,Convenience Store
16,M1X,Scarborough,Upper Rouge,43.836124700000006,-79.20563609999999,0,,,,,,,,,,
17,M2H,North York,Hillcrest Village,43.8037622,-79.3634517,0,Dog Run,Golf Course,Pool,Mediterranean Restaurant,Yoga Studio,Drugstore,Diner,Discount Store,Doner Restaurant,Donut Shop
18,M2J,North York,"Fairview, Henry Farm, Oriole",43.7785175,-79.3465557,0,Clothing Store,Coffee Shop,Fast Food Restaurant,Women's Store,Japanese Restaurant,Food Court,Asian Restaurant,Toy / Game Store,Bakery,Shopping Mall
19,M2K,North York,Bayview Village,43.7869473,-79.385975,0,Café,Bank,Japanese Restaurant,Chinese Restaurant,Dim Sum Restaurant,Discount Store,Dog Run,Doner Restaurant,Donut Shop,Drugstore
20,M2L,North York,"Silver Hills, York Mills",43.7574902,-79.37471409999999,0,,,,,,,,,,
21,M2M,North York,"Newtonbrook, Willowdale",43.789053,-79.40849279999999,2,Gym,Yoga Studio,Dumpling Restaurant,Diner,Discount Store,Dog Run,Doner Restaurant,Donut Shop,Drugstore,Eastern European Restaurant
22,M2N,North York,Willowdale South,43.7701199,-79.40849279999999,0,Ramen Restaurant,Coffee Shop,Café,Sandwich Place,Pizza Place,Juice Bar,Indonesian Restaurant,Sushi Restaurant,Ice Cream Shop,Steakhouse
23,M2P,North York,York Mills West,43.752758299999996,-79.4000493,4,Park,Bank,Convenience Store,Yoga Studio,Dumpling Restaurant,Discount Store,Dog Run,Doner Restaurant,Donut Shop,Drugstore
24,M2R,North York,Willowdale West,43.7827364,-79.4422593,0,Pizza Place,Coffee Shop,Butcher,Pharmacy,Grocery Store,Comfort Food Restaurant,Dessert Shop,Event Space,Ethiopian Restaurant,Empanada Restaurant
25,M3A,North York,Parkwoods,43.7532586,-79.3296565,4,Park,Food & Drink Shop,Yoga Studio,Drugstore,Diner,Discount Store,Dog Run,Doner Restaurant,Donut Shop,Dumpling Restaurant
26,M3B,North York,Don Mills North,43.745905799999996,-79.352188,0,Gym / Fitness Center,Caribbean Restaurant,Japanese Restaurant,Café,Concert Hall,Diner,Falafel Restaurant,Event Space,Ethiopian Restaurant,Empanada Restaurant
27,M3C,North York,"Flemingdon Park, Don Mills South",43.72589970000001,-79.340923,0,Asian Restaurant,Beer Store,Gym,Coffee Shop,Grocery Store,Fast Food Restaurant,Bike Shop,Sporting Goods Shop,Sandwich Place,Japanese Restaurant
28,M3H,North York,"Bathurst Manor, Downsview North, Wilson Heights",43.7543283,-79.4422593,0,Coffee Shop,Pharmacy,Sandwich Place,Sushi Restaurant,Bank,Deli / Bodega,Restaurant,Fried Chicken Joint,Frozen Yogurt Shop,Diner
29,M3J,North York,"Northwood Park, York University",43.7679803,-79.48726190000001,0,Falafel Restaurant,Massage Studio,Coffee Shop,Bar,Caribbean Restaurant,Yoga Studio,Drugstore,Dog Run,Doner Restaurant,Donut Shop
30,M3K,North York,"CFB Toronto, Downsview East",43.737473200000004,-79.46476329999999,4,Airport,Snack Place,Park,Yoga Studio,Dumpling Restaurant,Discount Store,Dog Run,Doner Restaurant,Donut Shop,Drugstore
31,M3L,North York,Downsview West,43.7390146,-79.5069436,0,Grocery Store,Bank,Park,Hotel,Shopping Mall,Yoga Studio,Drugstore,Discount Store,Dog Run,Doner Restaurant
32,M3M,North York,Downsview Central,43.7284964,-79.49569740000001,0,Business Service,Baseball Field,Food Truck,Drugstore,Discount Store,Dog Run,Doner Restaurant,Donut Shop,Yoga Studio,Diner
33,M3N,North York,Downsview Northwest,43.7616313,-79.52099940000001,0,Gym / Fitness Center,Grocery Store,Liquor Store,Discount Store,Dumpling Restaurant,Diner,Dog Run,Doner Restaurant,Donut Shop,Drugstore
34,M4A,North York,Victoria Village,43.725882299999995,-79.31557159999998,0,Intersection,Pizza Place,French Restaurant,Coffee Shop,Portuguese Restaurant,Hockey Arena,Donut Shop,Dim Sum Restaurant,Diner,Discount Store
35,M4B,East York,"Woodbine Gardens, Parkview Hill",43.7063972,-79.309937,0,Pizza Place,Fast Food Restaurant,Gastropub,Gym / Fitness Center,Café,Bank,Intersection,Athletics & Sports,Pharmacy,General Travel
36,M4C,East York,Woodbine Heights,43.695343900000005,-79.3183887,0,Skating Rink,Cosmetics Shop,Dance Studio,Curling Ice,Beer Store,Video Store,Bus Stop,Spa,Park,Pharmacy
37,M4E,East Toronto,The Beaches,43.67635739999999,-79.2930312,0,Park,Other Great Outdoors,Health Food Store,Neighborhood,Trail,Pub,Yoga Studio,Donut Shop,Dim Sum Restaurant,Diner
38,M4G,East York,Leaside,43.7090604,-79.3634517,0,Coffee Shop,Sporting Goods Shop,Burger Joint,Furniture / Home Store,Pet Store,Beer Store,Electronics Store,Supermarket,Record Shop,Fish & Chips Shop
39,M4H,East York,Thorncliffe Park,43.7053689,-79.34937190000001,0,Indian Restaurant,Burger Joint,Yoga Studio,Bank,Gym,Intersection,Discount Store,Park,Pizza Place,Coffee Shop
40,M4J,East York,East Toronto,43.685347,-79.3381065,4,Park,Coffee Shop,Convenience Store,Yoga Studio,Dumpling Restaurant,Discount Store,Dog Run,Doner Restaurant,Donut Shop,Drugstore
41,M4K,East Toronto,"The Danforth West, Riverdale",43.6795571,-79.352188,0,Greek Restaurant,Coffee Shop,Ice Cream Shop,Italian Restaurant,Furniture / Home Store,Pizza Place,Spa,Bookstore,Brewery,Bubble Tea Shop
42,M4L,East Toronto,"The Beaches West, India Bazaar",43.6689985,-79.31557159999998,0,Sandwich Place,Pizza Place,Pet Store,Pub,Liquor Store,Light Rail Station,Burger Joint,Burrito Place,Fast Food Restaurant,Italian Restaurant
43,M4M,East Toronto,Studio District,43.6595255,-79.340923,0,Café,Coffee Shop,Italian Restaurant,American Restaurant,Bakery,Yoga Studio,Diner,Bar,Chinese Restaurant,Ice Cream Shop
44,M4N,Central Toronto,Lawrence Park,43.7280205,-79.3887901,0,Photography Studio,Bus Line,Park,Swim School,Doner Restaurant,Dim Sum Restaurant,Diner,Discount Store,Dog Run,Donut Shop
